Reference, Quantity, Value, Footprint, Datasheet, Value1, Value2, digikey
R205 R206 R211 R212 R223 R224 R233 R234 R244 R245 R251 R252 R257 R258 R263 R264 ,16,"RES_10R0_1%_0.25W_Thin_0805","rklib:C0805-RES","","10R0","1% 0.25W Thin","RNCP0805FTD10R0CT-ND"
R301 R303 R311 R313 R317 R319 R328 R330 R335 R337 R345 R347 R352 R354 R368 R370 ,16,"RES_4K42_0.5%_0.1W_Thin_0805","rklib:C0805-RES","","4K42","0.5% 0.1W Thin","RR12P4.42KDCT-ND"
R302 R304 R315 R316 R318 R320 R332 R333 R336 R338 R350 R351 R353 R355 R372 R373 ,16,"RES_3K40_0.5%_0.1W_Thin_0805","rklib:C0805-RES","","3K40","0.5% 0.1W Thin","RR12P3.4KDCT-ND"
R305 R306 R312 R314 R321 R322 R329 R331 R339 R340 R346 R348 R357 R358 R369 R371 ,16,"RES_150R_1%_0.25W_Thin_0805","rklib:C0805-RES","","150R","1% 0.25W Thin","RNCP0805FTD150RCT-ND"
R307 R308 R309 R310 R324 R325 R326 R327 R341 R342 R343 R344 R364 R365 R366 R367 ,16,"RES_4K70_1%_0.125W_Thin_0805","rklib:C0805-RES","","4K70","1% 0.125W Thin","YAG3364CT-ND"
R403 ,1,"RES_4R70_1%_0.125W_Thick_0805","rklib:C0805-RES","","4R70","1% 0.125W Thick","311-4.70CRCT-ND"
R415 ,1,"RES_43R2_1%_0.125W_Thick_0805","rklib:C0805-RES","","43R2","1% 0.125W Thick","P43.2CCT-ND"
R419 ,1,"RES_80K6_1%_0.125W_Thick_0805","rklib:C0805-RES","","80K6","1% 0.125W Thick","311-80.6KCRCT-ND"
R420 ,1,"RES_120K_1%_0.125W_Thick_0805","rklib:C0805-RES","","120K","1% 0.125W Thick","311-120KCRCT-ND"
X101 ,1,"MicroMatch14","rklib:MM-14G","","MicroMatch-14","-","???"
X102 ,1,"HDR_02x08","rklib:HDR_02x08","","HDR_02x08","-","???"
X103 ,1,"HDR_01x03","rklib:HDR_01x03","","HDR_01x03","-","???"
X104 ,1,"CON_MicroMatch-10G","rklib:MM-10G","","MicroMatch-10","-","A110869-ND"
X105 ,1,"CON_MicroFit3_02x02","rklib:Microfit3_43045-0428","","MicroFit3 02x02","-","WM10670-ND"
X201 X301 ,2,"CONN_02X13","rklib:HDR_02x13","","SKT_02x13","-","???"
X401 ,1,"CON_HDR_01x04","rklib:HDR_01x04","","HDR-01x04","-","732-5317-ND"
X402 ,1,"CON_HDR_02x10","rklib:HDR_02x10","","HDR-02x10","-","S2011EC-10-ND"
X501 ,1,"Conn_01x04","rklib:Molex_KK254_0022032041","","KK254-01x04","-","???"
X502 ,1,"Conn_01x05","rklib:Molex_PicoBlade_530470510","","PB-01x05","-","???"
X503 ,1,"Conn_01x03","rklib:Molex_PicoBlade_530470310","","PB-01x03","-","???"
X504 ,1,"HDR_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","","HDR-01x06","-","???"
Y101 ,1,"24M576","rklib:Crystal-3.2x2.5","","24M576","-","???"
